epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,597.998,1.51942,1.02431,0.78909,0.57018,0.50084,0.46657,0.28739,1.23371,0.87029,0.78822,0.000479705,0.000479705,0.000479705
43,612.35,1.51234,0.96764,0.7953,0.57931,0.49374,0.46972,0.28792,1.23569,0.86381,0.78862,0.00047921,0.00047921,0.00047921
44,619.654,1.56381,1.03909,0.78842,0.59461,0.4932,0.47348,0.2867,1.23767,0.8455,0.78954,0.000478715,0.000478715,0.000478715
45,642.822,1.58294,1.00513,0.79791,0.58624,0.50097,0.47639,0.293,1.19148,0.83356,0.78829,0.00047822,0.00047822,0.00047822
46,670.698,1.54991,0.96819,0.79389,0.58594,0.49062,0.46989,0.28751,1.20584,0.83311,0.78777,0.000477725,0.000477725,0.000477725
47,684.415,1.47114,0.95644,0.79675,0.57699,0.49197,0.46843,0.27958,1.27351,0.84987,0.78908,0.00047723,0.00047723,0.00047723
48,693.224,1.49612,0.92849,0.79137,0.55944,0.46415,0.44909,0.28052,1.16987,0.87307,0.78782,0.000476735,0.000476735,0.000476735
49,714.386,1.58866,1.00326,0.78734,0.55146,0.46397,0.43913,0.27301,1.1784,0.87652,0.78762,0.00047624,0.00047624,0.00047624
50,723.05,1.55988,0.96974,0.79156,0.55532,0.47517,0.44793,0.27838,1.18573,0.84641,0.78777,0.000475745,0.000475745,0.000475745
51,734.535,1.49635,0.94001,0.80145,0.57352,0.48922,0.46525,0.29291,1.15515,0.82112,0.78775,0.00047525,0.00047525,0.00047525
52,759.715,1.52283,0.96218,0.79384,0.61145,0.50167,0.48922,0.29407,1.25922,0.81094,0.78745,0.000474755,0.000474755,0.000474755
53,767.155,1.35365,0.85881,0.80109,0.6112,0.5139,0.49035,0.30178,1.2074,0.79772,0.78549,0.00047426,0.00047426,0.00047426
54,776.613,1.40022,0.91021,0.79812,0.61692,0.50437,0.49527,0.31126,1.15664,0.78654,0.78373,0.000473765,0.000473765,0.000473765
55,797.987,1.45992,0.92086,0.79976,0.62117,0.50309,0.50273,0.31014,1.16526,0.78405,0.78414,0.00047327,0.00047327,0.00047327
56,825.259,1.49158,0.90749,0.79128,0.62017,0.50588,0.50643,0.31906,1.13372,0.77539,0.78516,0.000472775,0.000472775,0.000472775
57,847.83,1.4766,0.91731,0.79771,0.61877,0.51214,0.50398,0.32305,1.10414,0.75766,0.78483,0.00047228,0.00047228,0.00047228
58,854.005,1.41181,0.88235,0.79191,0.626,0.49885,0.49466,0.31806,1.12622,0.7667,0.78431,0.000471785,0.000471785,0.000471785
59,861.553,1.57335,0.98703,0.78005,0.62142,0.49512,0.49051,0.31312,1.17804,0.77878,0.78468,0.00047129,0.00047129,0.00047129
60,871.505,1.48015,0.88947,0.78513,0.64661,0.49466,0.49443,0.32088,1.11929,0.76173,0.78392,0.000470795,0.000470795,0.000470795
61,887.355,1.34167,0.86324,0.79695,0.65826,0.49431,0.50358,0.32939,1.08251,0.75471,0.7831,0.0004703,0.0004703,0.0004703
62,901.565,1.33257,0.8644,0.79605,0.67166,0.49528,0.51695,0.32728,1.13754,0.76132,0.78344,0.000469805,0.000469805,0.000469805
63,919.506,1.45245,0.85262,0.79413,0.66857,0.49581,0.5194,0.32837,1.14857,0.76192,0.78374,0.00046931,0.00046931,0.00046931
64,925.016,1.49478,0.90338,0.79011,0.65036,0.50308,0.51554,0.33721,1.08361,0.75887,0.78314,0.000468815,0.000468815,0.000468815
65,930.554,1.38685,0.85646,0.79198,0.63697,0.50285,0.51448,0.33405,1.10572,0.76323,0.78338,0.00046832,0.00046832,0.00046832
66,938.527,1.42256,0.87849,0.79432,0.65234,0.49952,0.51792,0.32579,1.18651,0.76489,0.78723,0.000467825,0.000467825,0.000467825
67,952.974,1.5318,0.94111,0.78813,0.64674,0.50404,0.51764,0.33089,1.14467,0.75643,0.78604,0.00046733,0.00046733,0.00046733
68,965.828,1.38083,0.86046,0.79518,0.65288,0.49819,0.51467,0.33832,1.07124,0.75333,0.78362,0.000466835,0.000466835,0.000466835
69,983.298,1.50991,0.88803,0.79255,0.6569,0.49844,0.51721,0.3341,1.11283,0.75301,0.78418,0.00046634,0.00046634,0.00046634
70,1001.54,1.41887,0.85675,0.78702,0.64768,0.49948,0.51637,0.33625,1.09868,0.74265,0.78382,0.000465845,0.000465845,0.000465845
71,1040.6,1.44454,0.84308,0.78602,0.63242,0.50455,0.51454,0.33625,1.08487,0.7455,0.78401,0.00046535,0.00046535,0.00046535
72,1051.6,1.40675,0.8543,0.78838,0.62077,0.51103,0.51068,0.32718,1.13897,0.75391,0.7844,0.000464855,0.000464855,0.000464855
73,1067.83,1.52892,0.88619,0.79283,0.63341,0.51006,0.51201,0.32926,1.13908,0.75079,0.78412,0.00046436,0.00046436,0.00046436
74,1095.92,1.37297,0.82304,0.79943,0.65665,0.51671,0.5229,0.34392,1.07942,0.71578,0.78284,0.000463865,0.000463865,0.000463865
75,1104.26,1.4175,0.80689,0.79331,0.6591,0.51459,0.52395,0.33579,1.14802,0.73093,0.78275,0.00046337,0.00046337,0.00046337
76,1117.02,1.3924,0.83943,0.78793,0.67014,0.51742,0.5371,0.34806,1.13258,0.72728,0.78159,0.000462875,0.000462875,0.000462875
77,1127.98,1.42794,0.87625,0.78614,0.66901,0.52444,0.5411,0.35281,1.10036,0.72094,0.78105,0.00046238,0.00046238,0.00046238
78,1152.12,1.51991,0.8589,0.78948,0.6739,0.50704,0.53435,0.34561,1.11554,0.72307,0.78189,0.000461885,0.000461885,0.000461885
79,1165.12,1.33792,0.80612,0.79029,0.67454,0.50588,0.53453,0.34962,1.09137,0.71972,0.78181,0.00046139,0.00046139,0.00046139
80,1184.44,1.42595,0.85894,0.7917,0.65523,0.51621,0.53705,0.3586,1.04813,0.71389,0.78236,0.000460895,0.000460895,0.000460895
81,1206.6,1.44379,0.84254,0.79118,0.6611,0.51091,0.53769,0.35705,1.03415,0.71247,0.78192,0.0004604,0.0004604,0.0004604
82,1217.27,1.33315,0.79462,0.79226,0.65173,0.51344,0.53441,0.34973,1.0655,0.71562,0.7834,0.000459905,0.000459905,0.000459905
83,1226.42,1.38075,0.81857,0.78006,0.64726,0.5186,0.53478,0.34708,1.08254,0.71774,0.78387,0.00045941,0.00045941,0.00045941
84,1242.84,1.3157,0.79955,0.79139,0.67008,0.50852,0.53965,0.35246,1.06271,0.71177,0.78287,0.000458915,0.000458915,0.000458915
85,1261.37,1.4098,0.81542,0.78296,0.68041,0.50269,0.53901,0.35538,1.04353,0.71002,0.78253,0.00045842,0.00045842,0.00045842
86,1272.39,1.36702,0.80395,0.79034,0.68254,0.49599,0.5329,0.34653,1.08886,0.71221,0.78256,0.000457925,0.000457925,0.000457925
87,1302.04,1.48106,0.85129,0.79003,0.68637,0.48957,0.53271,0.34645,1.09242,0.71571,0.78291,0.00045743,0.00045743,0.00045743
88,1313.91,1.41803,0.84974,0.79107,0.71116,0.48952,0.54268,0.35273,1.08993,0.70079,0.78337,0.000456935,0.000456935,0.000456935
89,1329.32,1.3373,0.78547,0.78675,0.68104,0.50979,0.54306,0.35527,1.06194,0.69468,0.78346,0.00045644,0.00045644,0.00045644
90,1342.07,1.50642,0.88417,0.78493,0.6946,0.50897,0.54084,0.35402,1.07855,0.7015,0.78356,0.000455945,0.000455945,0.000455945
91,1354.31,1.35955,0.77545,0.79333,0.70222,0.51267,0.54644,0.36049,1.0601,0.69203,0.78318,0.00045545,0.00045545,0.00045545
92,1365.93,1.41373,0.80325,0.7862,0.69231,0.5265,0.55135,0.36325,1.0677,0.68887,0.78261,0.000454955,0.000454955,0.000454955
93,1371.36,1.44606,0.83243,0.79143,0.70399,0.51822,0.55499,0.36538,1.06972,0.69143,0.78268,0.00045446,0.00045446,0.00045446
94,1381.25,1.46938,0.81489,0.79661,0.68831,0.52985,0.55009,0.3705,1.02328,0.68836,0.78132,0.000453965,0.000453965,0.000453965
95,1411.32,1.32862,0.78239,0.79009,0.68493,0.52954,0.54872,0.36704,1.03317,0.69201,0.78087,0.00045347,0.00045347,0.00045347
96,1432.63,1.33781,0.77767,0.79315,0.66764,0.5303,0.54592,0.36003,1.047,0.69493,0.78129,0.000452975,0.000452975,0.000452975
97,1457.44,1.54032,0.85972,0.7809,0.665,0.51998,0.54062,0.34689,1.11379,0.71173,0.78287,0.00045248,0.00045248,0.00045248
98,1476.26,1.45656,0.80374,0.78823,0.68535,0.51564,0.54469,0.35277,1.10608,0.70799,0.78245,0.000451985,0.000451985,0.000451985
99,1491.56,1.32934,0.76611,0.78742,0.69907,0.52729,0.55455,0.36865,1.03306,0.6864,0.78063,0.00045149,0.00045149,0.00045149
100,1501.84,1.36014,0.76587,0.79326,0.71237,0.5229,0.56158,0.3716,1.02423,0.67953,0.78022,0.000450995,0.000450995,0.000450995
